id,titulo,autor,siglo,tokens_utiles
284,A Lope de Vega,Mateo Pérez de Cárdenas,15-17,helicon falda derriba agua cristalina hasta llega dar florida fertil vega vuestro claro ingenio sol cultiva donde dafne tambien esquiva hermosos brazos ya le ruega digna corona os entrega vos don reciba fruto responded amores vuestra vega habran cogido tiritos arcadia moradores porque campana convencido quede pagado pues son mejores invento ni mundo ha oido
285,Sonetos – - VIII -,Gregorio de Matos,15-17,rompa ya silencio amor mio provoquele leguas desatado vivir ofensas callado no puede ser bien porfio como amante desconfio morir mejor sera desesperado pues no quieres tenga mi cuidado ni le ponga otra mi albedrio fin como pena me maltrata vivir penar ya no espero ni detener cristal desata asi resuelto ya me desespero viendo yo tu propio rigor mata mi amor asi dos veces muero
286,En que se encarece la fuerza de la hermosura,Jerónimo Cáncer y Velasco,15-17,contendian dioses soberanos cielo excelsa monarquia alla donde paz centro tenia ambicion reinar hizo tiranos venus supo aires vanos llego donde guerra encendia puesta medio esta gran porfia les derribo armas manos rayo quito jove tridente grande rey azules hielos espada marte llena despojos ay lid vuelven repente ya no contienden cielos sino imperio ojos
287,Soneto,Cristóbal de Castillejo,15-17,musas italianas latinas gentes estas partes tan extrana como habeis venido nuestra espana tan nuevas hermosas clavelinas quien os traido ser vecinas tajo montes campana quien os guia acompana tierras tan ajenas peregrinas don diego mendoza garcilaso nos trujeron boscan luis haro orden favor dios apolo dos llevo muerte paso paso soliman uno amparo solo queda don diego basta solo
288,Sonetos – - II -,Fray Arcángel de Alarcón,15-17,quien valle miserable lagrimas asciende tan lozana ni alba rosada manana ni sol beldad comparable luna hermosa agradable decoro naturaleza humana como escuadron fortisimo allana enemiga virtud hecho admirable tanta gloria nos muestra hinche tierra cielo alegria perfecta humildad todos pasa hijo dios pone diestra soberanas jerarquias pues ellas amor divino abrasa
289,"Luis Hurtado anciano pastor del Mártir Vicente, al santo y al autor",Luis Hurtado de Toledo,15-17,tan soberana medida gloria vicente dios ha dado otra gloria mundo le ha dejado martir viva nuestra vida esta vuestra pluma esclarecida santo martirio ha declarado verso tan sonoro delicado devocion martir nos convida si alejandro lloro porque historia no pudo ser cantada homero asi hacer eterna memoria senor luis cruz santo espero suya os ha alcanzar gloria ya cantais triunfo verdadero yo ganadero galardon le pido siete lustros le he servido
290,A la muerte de Lope de Vega,Antonio Barbosa Bacelar,15-17,mientras sirena pielagos llanto muerte opuso tu armonia pues vidas indomita rendia vivificaban armonico tu canto alta ruina reino espanto temio muerte razon temia cuando vengarse presumia tu armonia recelo encanto hoy tu vida atrevio muerte duda tu musa suspendida suspendido tenia dulce acento pues si cantando te envistiera fuerte vez dar muerte tanta vida vida diera muerte tu contento
291,Soneto,Pedro Laynez,15-17,salga doliente anima fuera dolorosa voz alegria busque mi nuevo llano nueva via llorando pena tan amarga fiera cambiese ya mi alegre primavera noche eternamente escura fria pues muero ti senora mia escucha mi cansada voz postrera no muero desamado ni celoso igual cualquier suerte tu presencia solo dolor me acaba agudo fiero encubrirle ya no hay paciencia mostrar cual soy temeroso fin tal callarle muero
292,A la perdida libertad de la patria,Antonio Henríquez Gómez,15-17,si libertad desposeido estoy formo voz como lamento suspiros quedan viento pesares no llegan oido quien patria perdio tiene perdido juzga tener entendimiento vive sujeto sentimiento no muere carece sentido como vive esperanza vecina dolor consolarme dice tenga ella confianza mejor le fuera no enganarme pues si me sale falsa fianza he pagar deuda matarme
293,Hablando con una niña que por su elección se entró religiosa,Jacinto Polo de Medina,15-17,borrar supiste oh clori oh rosa pura albedrio contingencia ya rizos nacar violencia no podra destrenzarles hermosura no admire no edad madura solicites galan no hace ausencia si silencio rostro prudencia virtud edad cordura peligros mal engano sabia razon advertida prevenir no enmendar desengano ciencia escarmentados no lucida tu no ver males dano ves discurso prevenida
294,El álamo,Jacinto Polo de Medina,15-17,aquesta ya alcides osadia profana sol sagrado asiento contra rayos verde atrevimiento pasando descortes demasia esta no olimpo desafia pues besa alteza fundamento vanidad esmeralda viento bate tornasolada argenteria esta prado babilonia hojosa terrero do festejan estrellas confusion armonica aves cadaver estara pompa hermosa amarillas leeran hojas bellas muda leccion nuestras vidas graves
295,En el sepulcro del doctor Juan Pérez de Montalbán,Pedro Meléndez de Azellana,15-17,cubra glorias esta pira breve incesable fatiga anos pues fiel morir debe desenganos memorias vivir tambien debe golpe duro parca aleve afecto alento sangrientos danos sentir agravios tan extranos dolor eterno recuerdo mueve orne pues laureles parnaso este claro hospedaje quien pudo labrar luces perpetuo ocaso salga acentos dolor agudo llorar rigores fracaso tiempo exclamara llanto mudo
296,Sonetos – - VI -,Pedro de Quirós,15-17,sonaba yo querida ardenia mia amor dar alivio mi sed loca aljofar nevado tu boca divino clavel robar queria mi amor respeto competia tu dulce gravedad provoca miedo templar mi sed no poca dos fuentes ojos convertia visto mi llanto temor nacido mostrando tu risa mil auroras dijiste no haya pastor dormido mira imaginas ignoras porque si lloras no me has conocido si me has conocido lloras
297,Soneto,Juan Antonio de Veraste,15-17,ondas llanto sumergida espana siente amenaza dura porque siempre riesgo asegura alteza mayor mayor caida no llore espana ya inmortal vida reina fenix gozara segura quien resiste impulsos altura eterno no caer firme esta asida subio mariana mayor grandeza viento fiera ser costumbre rafagas impele belleza deponga espana ya pesadumbre eterna si vinculo alteza quien resistio aires cumbre
298,Discurso XIV del libro Agudeza y arte de ingenio d,Miguel Ribellas y de Villanoua,15-17,gallardo capitan armado oro lanza fatal puesta mano pisas cuello feroz tirano rey dios perdio decoro pie sagrado respeto adoro asi castiga loco intento vano divino alcazar soberano tiene primer lugar primer coro postrareme tus pies tu licencia alli do lucifer esta tendido juntos dos haremos penitencia si mismo senor tengo ofendido no queda entre yo diferencia estar pertinaz yo arrepentido
299,"Sonetos creados entre 1586-1587 – En metáfora de música, a la condición natural de una mujer fea o hermosa",Juan de Salinas,15-17,seis sonora voz levanta quiebro natural si ya parte supo cantar resto mano parte rico seguro feliz garganta no asi esteril violencia canta estudia vela apices comparte obtiene plaza magistral arte defectos suple suertes adelanta simil hermosas feas idolatrando aquellas belleza cuidado descuidan eficacia estas abominando aun ideas perdieron naturaleza les da hechizo artificial gracia
300,Sonetos creados entre 1586-1587 – Soneto moral en metáfora de un relojito mostrador,Juan de Salinas,15-17,oh cuanto desengano experimento bronce animado tu veloz latido pues alas distancias horas mido vivo edades atento agudo repetido acento tu volante hiere oido jamas noble perspicaz sentido indice percibe movimiento decision sabio remita basteme mi sentir ya no veo tu pulsacion edades gasta proceso criminal causa exquisita depone testigo reo oidas muerte basta
301,Resolución animosa de amante desesperado,Francisco Pinel y Monroy,15-17,yo rompere duros eslabones desta horrible cadena tal brio vez redima albedrio dominio infeliz pasiones intente vanas ilusiones aliviar este peso desvario estar dorado hierro impio no siento graves prisiones dificil no dudo intento cuando tan noble parte vida ciega implica robustos lazos vencere dolor aliento dejar alma desasida quede corazon hecho pedazos
302,A la muerte de Lope de Vega,Pedro García,15-17,sol espana lope occidente rayos llegan casi improviso como cielo si le quiso dilaciones plazo no consiente asi pues morir no accidente pasajero como aviso inviolable ley preciso admiraciones das contingente diras este divino apolo mundo aclama hoy espana llora tan unico sera polo polo si morir tanto le mejora sigue accidente lope solo accidente morir parecio ahora
303,A la muerte de Lope de Vega,Pedro de Morales,15-17,pastor tierno belardo di atencion quejas dolores cortando ingenio algunas flores reliquias observadas guardo despues cual sol universal gallardo dio luz tantos doctos escritores desterrando criticos horrores nuevo idioma apocrifo bastardo tratele estados diferentes solo sessa le adverti dichoso pues son duracion premios vanos esta proteccion accidentes le ajusto cielo espiritu glorioso honrarle premios soberanos
304,Soneto,Francisco de Figueroa,15-17,maldito seas amor perpetuamente tu nombre tu saeta venda fuego tu nombre tal desasosiego me fuerza andar perdido entre gente tu flecha me hizo asi obediente aquella falsa quien ya reniego tu venda me hiciste ciego asi juzgue angel serpiente fuego sea maldito cuya llama no toca cuerdo gran locura necio solo crueldad consiente asi cuitado espiritu ama dira tu rostro viendo tu figura maldito seas amor perpetuamente
305,Sonetos,Fray Damián de Cornejo,15-17,yo no puedo vivir si no me capo porque si tengo bolas no emboco te diga cabe no te toco todo gordo sera vayna trapo si ser inocente asi me escapo amante doy loco pues nevando camisas poco poco si mojo muchisimo no papo quien te viera no grave espetada cuando amor goza sospecha mi manera atenta no mi modo yo quedara contento tu pagada pues supiera cual mi pix derecha me quisieras bien vayna todo esta manana dios enhorabuena sali casa vineme mercado vi ojo negro parecer rasgado blanca frente rubia melena llegue le dije gloria mi pena muerto me tiene vivo tu cuidado vuelveme alma pues me has robado ese encanto aspid sirena paso pase miro mire vio vila dio muestras querer hice otro tanto guino guine tosio tosi seguila fuese casa quitarme manto alzo llegue toque bese cubrila deje dinero fuime como santo
306,A San Isidro,Tomás Córdoba y Contreras,15-17,campos madrid isidro santo cielos son ya no eliseos fabulosos si arados angeles hermosos tanto orais vos producen tanto piadoso humor vuestro llanto tiernos amor afectos fervorosos si esteriles han sido ya copiosos vos admiraran nuevo espanto no mucho causar estos efectos lagrimas oracion porque han podido senor cielos absoluto unir alma entre perfectos isidro alcanzo ha merecido sembrando aqui lagrimas fruto
307,- XXXV -,Marqués de Santillana,15-17,celestial exercito patron e segundo choro precioso angeles malos dampnacion miguel arcangel duque glorioso digo alferez sacro pendon invencible cruzado victorioso tu debellaste cruel dragon virtud excelso poderoso todos estos premios te honoramos e veneramos principe excellente e ellos mesmos te rogamos ruegues senor omnipoetnte nos dignifique porque poseamos gloria todas glorias precedente
308,- III -,Luis Barahona de Soto,15-17,esplendores celajes riguroso salvaje llama liquido candores vagueza faz purpurea cintia ardores otra vez esplendores caluroso ufania apacible numeroso luengo osadia afan verdor errores otra quinientas veces esplendores esplendores crespo glorioso cercos asperos albos encrespado esparcir espirar lustre fatales cambiar esplendor otro poquito luces eburneo nitido asombrado orna colora joven celestiales esto quitado cierto bonito
309,A Ignacio,Juan de Quiroga,15-17,alta piadosa maquina eminente cuya majestuosa arquitectura estrago tiempo asegura admiraciones gente cuantas riquezas engendro oriente sol occidente plata pura errante luna prodiga escultura culto tu adoracion hacen decente ti pomposamente venera cinco santos feliz memoria celo pio victimas fragantes quien sino estirpe tuya ignacio fuera tan viva imitadora gloria talamos luz gozan triunfantes
310,- I -,Marqués de Santillana,15-17,cuando yo veo gentil criatura cielo acorde naturaleza formaron loo mi buena ventura punto hora tanta belleza me desmostraron hermosura ya sola loor pureza luego torno igual tristura me pongo quejar crudeza no tanta mal thedeo ni hizo achila potino falsos ministros ti ptholomeo asi lloro mi servicio indigno mi loca fiebre pues veo me hallo cansado peregrino
311,A la muerte de Lope de Vega,Juan Pérez de Montalbán,15-17,faltar luz intempestivamente porque nube descortes asalta muralla sol prado esmalta no defecto sol sino accidente asi lope tu luz nuestro oriente falta vencida region alta solamente muere quien nos falta quien nos sobra vive solamente si tu eclipse queda esclarecida siempre tu luz llorarte ofenderte no caer triunfar caida goza tu muerte pues tan feliz suerte si tu muerte mejoro tu vida tu vida debes tu muerte
312,- VII -,Marqués de Santillana,15-17,fedra dio regla manda amor cuando lengua no halle osada demostrar pena dolor animo afflicto enplentada pluma escriva e muestre ardor diluye mente fatigada pues osa mano mia temor te faz ser vista fiel enamorada no te pienses tanta belleza sincera claror casi divina contenga si feroce crueza nin nefanda soberbia maligna pues vaya lejos inutil pereza no tema imagen benigna
313,- VIII -,Marqués de Santillana,15-17,dulce esguarde vida e honor mia segunda helena templo beldad so cuya mano mando e senoria arbitrio mio e voluntad yo soy tu prisionero porfia fueste senora mi libertad e non te pienses fuyga tu valia nin me desplega tal captividad verdad sea amor gasta e dirruye mis entranas fuego amoroso e mi pena jamas diminuye nin punto fuelgo nin soy reposo vivo alegre quien me destruye siento muero no soy quejoso
314,A la muerte de don Juan Pérez Montalbán,Gregorio de Tapia,15-17,tu pira luciente si canora joven feliz ilustran ya piadosos sol paralelos luminosos lauro eterno tu frente honora triste fecundo aurora sera llanto afecto lastimosos si tambien nada imperiosos jurisdiccion reina flora dulce cantaste dulce suspendiste mucho si fenix mantuano docta ceniza renaciste maestro has sido hasta faltar temprano pues ello engano le anadiste nuevo aviso fragil humano
315,- II -,Marqués de Santillana,15-17,lloro hermana maguer qu enemiga rey don sancho e grand sentido procedio presto contra mal vellido servando acto fraternal liga dulce hermano pues yo tanto amiga jamas te como podre celar te llorar planir e lamentar bien qu seso contraste e desdiga real casa tanto perseguida mala fortuna e molestada non pienso juno encendida contra thebas nin tanto indignada antropos muerte me place e non vida si tal ventura ya non cansada
316,Al mismo tema,Juan Pérez de Montalbán,15-17,campos madrid isidro santo cielos son ya pues nuncios cielos rompiendo nubes rasgando velos bajan risa lograr llanto tanto alcanza isidro puede tanto mientras forma extasis desvelos siente campo lisonjas consuelos injurias arado sacrosanto asi destina dios grato deseo glorias isidro agricultor astuto ofreciendo amor le da trofeo rindiendo deseos tributo cogiendo dios gozos empleo sembrando aqui lagrimas fruto
317,A la vividora fama y doctas cenizas del doctor Jua,juan Martín del Barrio,15-17,diestro pintor musica suave escritor matices colores si pintando escribiste tus loores escribiendo pintaste quien te alabe apeles tu pluma pincel cabe tu pincel mil plumas escritores bien madrid reconoce tus favores mundo ti nombre sabe tu patria le diste nueva vida tu pluma doctor te eterniza fama tu voz tierras mares mantua virgilio agradecida lastimada tu muerte tu ceniza aras te erija te dedique altares
318,A Gregorio Silvestre,Luis Barahona de Soto,15-17,si arpa si organo sabroso si monacordio si dulce lira vuestras manos gran silvestre admira suspende ingenio furioso si dulce verso facil gracioso vientos refrenais ira algun consuelo liviano inspira seso apasionado amoroso aqui senor me ha rompido pecho punta oro acerado dardo mano gentil cielo ha hecho aqui huyo bien mal aguardo espero dano temo mi provecho he frio brasas entre hielos ardo
319,- XXXVI -,Marqués de Santillana,15-17,virginal templo do verbo divino vistio forma humanal librea quien anela todo amor benigno quien contempla commo santa idea si fablar ti yo no soy digno gracia tu fijo me provea indocto soy e lasso peregrino mi lengua loarte dessea fablaron ventura johan e johan jacobo pedro tan grand theolugia nin asna podiera balan gracia suya fablar nin sabia pues puede fable affan tus alabancas lengua mia
320,Con un cabello de oro...,Francisco de Figueroa,15-17,cabello oro delicado amor me tiene fuertemente asido nieve blanca ha vido vivo fuego mi alma ha levantado perlas orientales ha robado mi pecho mi alegria ha empobrecido dos estrellas sol esclarecido me tienen tinieblas rodeado nieve me encienda cabello cadena mi luz pura me ciegue me empobrezca riqueza me llevara mi desventura si vos senora echais sello juntando este mi mal vuestra aspereza
321,A las ruinas de Numancia,Francisco Pinel y Monroy,15-17,estas piedras miras esparcidas fueron tiempo muro aqueste llano contemplas desierto culto vano fabricas nobles ostento erigidas aqui vez fueron vencidas coronadas huestes romano yacen tiempo agora tirano olvido grandezas confundidas ruinas apenas presume numancia pues tantas glorias ni ceniza perdono llama edad fenisa todo consume no adquiere constancia memoria ni ha tener obstinacion fama
322,Sonetos creados entre 1586-1587 – Metáfora de un buboso,Juan de Salinas,15-17,son confuso rumor tremendo armas francesas oigo coyuntura tan dolor tiniebla oscura templados parches militar estruendo concavos volcanes escupiendo flamantes globos miro espesura negros humos infernal figura formidable espectaculo horrendo afectas musa entronizarte metiendo arma universo todo estilo grandilocuo valiente mercurio venus marte hallo tu descripcion acomodo cierto joven galico doliente
323,Sonetos creados entre 1586-1587 – En una junta de señoras...,Juan de Salinas,15-17,aguda mi opinion despunta discrecion protocolo tuvo antojo critico cumpliolo debe estar encinta barrunta mi licencia expresa ni presunta me echo certamen dios apolo hizo peso voto solo todo restante junta quien asegura pues quien desfallece ojos discurso pase moralidad aqui ofrece festividad prima clase concurra simple haya quien le rece no hizo dios quien desamparase
324,Soneto,Fray Álvaro de Hinojosa y Carvajal,15-17,no sois vos virgen santa escogida dios rige estrellado velo ni sois tampoco vos mismo cielo no luna sol estrella conocida ni sois tampoco vos misma vida no angel ligero presto vuelo ni como cosa alguna aca suelo bella sea lucida digo no sois porque deciros sois imposible me parece dios reservado tal tesoro solo solo pudo produciros quien toda esta maquina obedece podra decir vos bocados oro
325,Soneto,Vicente Espinel,15-17,blanco marfil profundo centro fuerza natural mi mostraste subida prenda me arrancaste tiene alma sentido adentro trasparente cristal fuera dentro compostura divino engaste tienes tanta luz no hay quien baste tener resistencia vivo encuentro nevada mano artificiosa pura purificado excelente metal mundo gran razon compuesta manos quien fuerzas ventura puestas estan dichoso aquel siente tales manos esperanza puesta
326,Sonetos – - VII -,Pedro de Quirós,15-17,campo dulces ruisenores alba desperto vistiose oro amena risa blando lloro desmayo estrellas dio aliento flores cuya hermosa variedad olores vi afectaba mayor decoro ese rojo ese candido tesoro llama luz competidores ingrata arrogancia competia joven aurora aquesta rosa este jazmin infante dia pongolos tu mano poderosa castigarlos dulce ardemia mia tus mejillas tu frente hermosa
327,Al curso y velocidad del tiempo,Antonio Henríquez Gómez,15-17,este exhalacion consumirse cuatro elementos pasea palestra mi marcial pelea campo no espera dividirse voile siguiendo sigueme irse voime quedando quedarse emplea mismo vuelo hallo desea ir quedarse quedar partirse mi error me dice rapto apruebe donde camino si esfera casi eterno alas mueve no me atrevo seguirle quisiera corre mucho temo me lleve ultimo fin carrera
328,Soneto,Jacinto Polo de Medina,15-17,esta guarda candida ceniza tanto valor fajardo urna breve despojos mudos muerte aleve fama retorica eterniza hoy pompa maquina eterniza tierna piedad pecho heroico mueve pagando sangre debe fin dichoso encanto solemniza renueva sentimiento memoria tanto puesto sol luz fecundo viven murio resplandores bien corresponda eterna gloria otro nuevo dolor mundo perdida cueste dos dolores
329,A San Isidro,Fray Gaspar de San Diego,15-17,campos madrid isidro santo angel rompe vos rompeis cielo sirve labrador arando suelo vos suplis voces canto ara vos orais subiendo tanto cuanto baja tierra sacro vuelo paso curso paralelo sigue seguis dios curso llanto labra angel arado tierra dura no cobra tributo dios paga gloria trabajado como sembro bien rostro enjuto no coge isidro si le ha ganado sembrando aqui lagrimas fruto
330,"Luis Hurtado de Toledo, en alabanza del valeroso e",Luis Hurtado de Toledo,15-17,achiles ulises cante homero virgilio eneas peregrino ariosto orlando paladino mena rey don juan justiciero bernardo carpio caballero yo canto nuestra espana destino persiguiendo pueblo sarracino marte pujante verdadero josue ni david ni macabeo alejandro ni cesar ni troyano artus ni carlos ni gudufre alcanza donde hechos bernardo leo asi nueve este cristiano todo mundo digno alabanza
331,Soneto,Pedro Malón de Chaide,15-17,oh paciencia infinita esperarme oh duro corazon no querernos este yo cansado ofenderos no esteis vos perdonarme cuantas veces volvisteis mirarme esos divinos ojos doleros tiempo os rompia vuestro fueros vos mi dios callar sufrir amarme oh guarda hombres vuestra sana no mostreis contra mi soy tierra mirad vuestro levantadle no deleite ya me engana sino costumbre me vence guerra pues solo pecar peco balde
332,Sonetos – - III -,Fray Arcángel de Alarcón,15-17,buscan nino padre putativo virgen purisima afligidos lagrimas sollozos gemidos oh caso lastimoso compasivo alma llevan dios vivo nino buscan amor heridos entre parientes entre conocidos dolor penalisimo excesivo no hallan dandonos ejemplo jesus si hallarte deseamos no entre carne sangre te busquemos pues tu madre purisima templo halla tambien nos verte podremos si cosas dios nos ocupamos
333,Soneto,Pedro Lainez,15-17,ebano sutil dos bellas piernas bellas bello tapa cubre arrugada descarnada ubre dos secas nalgas humedas cavernas pecho tablon dos mal tiernas castraduras macho descubre brazo nogal mes octubre pronostica cosas internas palido color quinta angustia puro azogue conservado hecho liston frente atado justo severidad marchita mustia me abrasa alma me consume pecho tal fuerza bellaco gusto
334,Soneto de Boscán,Cristóbal de Castillejo,15-17,si penas dais son verdaderas como bien sabe alma mia ya no me acaban seria ellas mi morir veras si dicha son tan lisonjeras quieren retozar mi alegria decid me matan cada dia muerte dolor mil maneras mostradme este secreto ya senora sepa yo vos pues vos muero si aquesto padezco muerte vida porque siendo vos matadora mayor gloria pena ya no quiero poder yo tener tal homicida
335,Sonetos – - IX -,Gregorio de Matos,15-17,dos tres estrellas veinte ciento millon mil millares millares valgame dios tengan mis pesares retrato alto firmamento siendo estrellas tan cuento como son arenas mares iguale numeros impares mi pesara mi desdicha mi tormento yo me espanto me abismo tenga ese alivio fin mi desconsuelo va pareciendo cielo mismo pues pudiendo mis males duelo semejarse penas abismo tienen semejanza alla cielo
336,A un hombre muy malo que se aumentaba mucho en bie,Jerónimo Cáncer y Velasco,15-17,lesbio si entre tu vida licenciosa permite cielo fabio providente tu riqueza todo acreciente piedad piedad sospechosa mira esta dicha misteriosa infiere mortal accidente consentirle excesos doliente siempre senal peligrosa cuando te llena colmados frutos dios dispone castigo tu malicia rompida alguna temporal concordia esten paz atributos te hace aquellos halagos justicia acallar misericordia
337,Al sepulcro de Lope de Vega,Gaspar Dávila,15-17,vuelve mortal deten paso incierto veras polvo reducido cuanto pudo cuanto no ha sido tanta humanidad seguro puerto no le llores lagrimas cubierto pues yace vencedor contra olvido si lope murio haber nacido tambien ahora vive haber muerto fallecio mortal naturaleza si tu piedad enternecida trasladas memoria tu flaqueza llora pluma mundo ya perdida no te obligara mayor tristeza murio tener vida
338,Soneto,Juan de Moncayo,15-17,como pasan lelio edades sujetas rigor inconstancia cuando mundo barbara ignorancia desconoce terrestres potestades funda diversas voluntades prosperos sucesos arrogancia veras misma vigilancia todo vanidad vanidades nace sol termino dia muere comienza curso repetido estacion cielo serena solo tanta mudanza mi agonia lobrego centro olvido anima contrapeso mi pena
339,A la muerte del doctor Juan Pérez de Montalbán,Blas Fernández de Mesa,15-17,cisne mantua canoro antes discurrieses tu estacion umbria ni esta playa volaste tuya mia te vio mundo canciones elegantes pocos numeros eran tus instantes cuando no asombro te atendia primero deudor fueses dia ni te vistiesen plumas tremolantes milagro fuiste aun antes estudioso porque tu cuna verde nido rudo prodigio contra orden tu canto pico aliento numeroso adelanto si llegabas mudo umbrales sepulcro santo
340,"Sonetos en su honor – El doctor Francisco de la Portilla, capellán de Su Majestad",Cristóbal de Virués,15-17,si entre sabios griegos ilustrado homero tan subida rima entre latinos le dio prima mantuano heroico celebrado merece vuelo levantado cantando cielo tanto estima como pecador cuando anima salir fervor pecado mayor palma vuestra mayor gloria virues pues poema peregrino cantais gran garin alabanzas aquel santuario memoria eternizais abriendonos camino contemplar divinas esperanzas
341,Epigrama,Juan Francisco Andrés,15-17,ebro corriente cristalina celebre alcino tus discretas sales pues tus agudezas caudales no envidiaran fuente cabalina tu voz resuene dulce peregrina climas remotos boreales porque tu elocuencia raudales mayor lauro febo destina clarin resonante fama aplauda cadencias ingeniosas cuando sonoro pindo aclama exentas sombras envidiosas daphne corone inmortal rama brillen siempre victoriosas
342,Soneto,Francisco Pacheco,15-17,cual fresca rosa jerico plantada alba libo luz dudosa preciadisimo aljofar gloriosa fulgor titan opone osada verde ramo cielo levantada oro ostenta purpura hermosa desparciendo fragancia deliciosa reina pensiles aclamada tal pura virgen sois habeis triunfado sanoso luzbel porque rocio gracia os previno vuestra aurora alteza eternal os ha dado nunca honor debio tener vacio dios madre quien orbe adora
343,Soneto,Juan de la Cueva,15-17,vido tirena descubierto pecho felino suyo convertido lloro fijo mirando dos pomas oro le han puesto vida tanto estrecho ay dice no posible sea hecho piedra dura tan gentil tesoro no este aquel tigre bien toro vida entranas me han deshecho viendo ella punto no desiste mal oyendo tormento puro ni aun vuelve rostro alabar primero dice llorando arrepentido triste piedra eres piedra pecho duro no digo piedra acero
344,Soneto,Francisco Crespi de Valldaura,15-17,tanta virtud tanta fuerza alcanza hidalgo secreto pensamiento va creciendo siempre contento peligro ninguno mudanza pues quien amor buscare privanza bien procure secreto intento este macizo fundamento cielo levanta esperanza nadie descubre secreto temer envidia agravios goza siempre gusto perfecto porque movimiento labios conoce prudente secreto piedra toque sabios
345,Soneto,Tomás de la Vega,15-17,paloma virgen verde oliva alegre lleva ligero vuelo zarza ardiendo moises celo aumenta prodigiosa cautiva arca nuevo testamento viva antes labrada fuese cielo judith valiente banado suelo dejo sangre bestia altiva oh candida cordera palestina ofrece gedeon vellocino esther graciosa ella inclina padre verbo solio trino tan alteza fenix peregrina inmaculada concepcion convino
346,Soneto,Cristóbal Suárez de Figueroa,15-17,oh bien feliz vida pasa ver gobierna aposento quien deja cortesano asiento humildad pajiza casa nunca teme fortuna escasa ajena vida ponzonoso aliento planta mayor persigue viento torre alta rayo abrasa contento estoy mi mediana suerte poderoso deidad resida mayor felicidad yo no procuro pues quietud sagrada hombre advierte ser corto espacio vida humilde estado seguro
347,Sonetos – Soneto,Fray Luis de León,15-17,si pan vemos como dura comiendo nos acabe si dios como gusto pan nos sabe como solo pan tiene figura si pan como le adora criatura si dios como tan chico espacio cabe si pan como ciencia no sabe si dios como le come hechura si pan como nos harta siendo poco si dios como puede ser partido si pan como alma hace tanto si dios como le miro yo le toco si pan como cielo ha descendido si dios como no muero yo espanto
348,Sonetos en su honor – Matías de Vargas,Cristóbal de Virués,15-17,asi como fin quinto canto vivo os retratais pintura rostro talle compostura haceis alli vuestro monje santo asi debeis retratarle cuanto muestra valor vuestra escritura pues vuestro alto espiritu cordura no puede esperar tanto asi tambien como cuerpo alma creo garin sois modelo segun cuerpo alma le pintastes asi creo virues gloria palma le habeis parecer tierra cielo alto sujeto cantaste
349,Soneto,Luis Enríquez de Navarra,15-17,claustro celestial sol indiano sirtes alevosas detenido cabos riesgos reconocido curso inmovil seno arcano suda ingenio arte gime vano vista naufragio inadvertido afan reconocese perdido susto falto socorro humano recurren sarcofago glorioso circundandole humilde acento llanto clarin impetuoso allano obstinado impedimento franqueando javier muro undoso como jerico arca paso exento
